               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.018037,            0.020636,          0.00076939,             0.99584,                   1,             0.99453,             0.86084,            0.012328,           0.0096777,          0.00049285,            0.002179,            0.002179,            0.002179
                  81,            0.018632,             0.01738,           0.0007475,             0.99615,                   1,             0.99461,              0.8836,            0.011208,           0.0094168,          0.00048063,             0.00208,             0.00208,             0.00208
                  82,            0.017518,            0.016466,          0.00067224,             0.99629,                   1,             0.99464,             0.88151,            0.010932,           0.0092518,          0.00046853,            0.001981,            0.001981,            0.001981
                  83,            0.017447,            0.017833,          0.00075153,             0.99634,                   1,             0.99469,             0.88051,            0.010794,           0.0092246,          0.00045275,            0.001882,            0.001882,            0.001882
                  84,            0.016628,            0.018706,          0.00080972,             0.99637,                   1,             0.99472,             0.88388,            0.011149,           0.0091601,          0.00042887,            0.001783,            0.001783,            0.001783
                  85,            0.017627,            0.020243,          0.00065585,             0.99636,                   1,             0.99475,             0.89102,            0.010329,           0.0089868,          0.00041777,            0.001684,            0.001684,            0.001684
                  86,            0.016465,            0.017629,           0.0006126,             0.99627,                   1,             0.99478,              0.8822,            0.010697,           0.0089793,           0.0004095,            0.001585,            0.001585,            0.001585
                  87,            0.016321,            0.015202,          0.00069241,             0.99622,                   1,             0.99478,             0.88107,            0.011154,           0.0089635,          0.00039207,            0.001486,            0.001486,            0.001486
                  88,            0.016473,            0.019263,          0.00077666,             0.99627,                   1,             0.99478,             0.89047,             0.01036,           0.0087403,          0.00038124,            0.001387,            0.001387,            0.001387
                  89,            0.017425,            0.020459,          0.00078007,             0.99626,                   1,             0.99478,             0.89183,            0.010591,           0.0088165,          0.00036493,            0.001288,            0.001288,            0.001288
                  90,            0.016993,            0.018287,          0.00057157,             0.99638,                   1,             0.99478,             0.89745,           0.0098894,            0.008472,          0.00035963,            0.001189,            0.001189,            0.001189
                  91,            0.014783,            0.015162,          0.00055918,             0.99617,                   1,             0.99478,             0.89597,            0.010165,           0.0085713,           0.0003487,             0.00109,             0.00109,             0.00109
                  92,            0.014957,            0.016577,           0.0005385,             0.99639,                   1,             0.99481,             0.89831,             0.01002,           0.0085129,          0.00034269,            0.000991,            0.000991,            0.000991
                  93,            0.016062,            0.015786,          0.00068499,             0.99635,                   1,             0.99483,             0.89664,           0.0099795,           0.0084278,          0.00033165,            0.000892,            0.000892,            0.000892
                  94,            0.016212,            0.017412,          0.00048176,             0.99636,                   1,             0.99483,             0.90255,           0.0097038,           0.0083318,          0.00032601,            0.000793,            0.000793,            0.000793
                  95,            0.016272,            0.017777,           0.0005225,             0.99639,                   1,             0.99481,             0.90388,           0.0096486,           0.0083479,          0.00031315,            0.000694,            0.000694,            0.000694
                  96,            0.015303,            0.018807,          0.00048869,             0.99639,                   1,             0.99478,             0.90305,           0.0095575,            0.008301,          0.00030578,            0.000595,            0.000595,            0.000595
                  97,            0.015773,            0.015634,          0.00049384,             0.99638,                   1,             0.99478,             0.90824,           0.0094542,           0.0082566,          0.00030428,            0.000496,            0.000496,            0.000496
                  98,            0.014642,            0.016282,          0.00051448,             0.99639,                   1,             0.99481,             0.90707,            0.009366,            0.008208,          0.00029966,            0.000397,            0.000397,            0.000397
                  99,            0.014246,            0.014599,          0.00045766,             0.99638,                   1,             0.99481,             0.90423,           0.0092709,           0.0081913,          0.00029463,            0.000298,            0.000298,            0.000298
